names,links,category,filename
Gina Knee Brook,https://en.wikipedia.org/wiki/Gina_Knee_Brook,List_of_20th-century_women_artists,./HTML/Women/Gina_Knee_Brook.html
Katarzyna Kobro,https://en.wikipedia.org/wiki/Katarzyna_Kobro,List_of_20th-century_women_artists,./HTML/Women/Katarzyna_Kobro.html
Dorothea Lange,https://en.wikipedia.org/wiki/Dorothea_Lange,List_of_20th-century_women_artists,./HTML/Women/Dorothea_Lange.html
Lucile Lloyd,https://en.wikipedia.org/wiki/Lucile_Lloyd,List_of_20th-century_women_artists,./HTML/Women/Lucile_Lloyd.html
Hildreth Meiere,https://en.wikipedia.org/wiki/Hildreth_Meiere,List_of_20th-century_women_artists,./HTML/Women/Hildreth_Meiere.html
Yevonde Middleton,https://en.wikipedia.org/wiki/Yevonde_Middleton,List_of_20th-century_women_artists,./HTML/Women/Yevonde_Middleton.html
Tina Modotti,https://en.wikipedia.org/wiki/Tina_Modotti,List_of_20th-century_women_artists,./HTML/Women/Tina_Modotti.html
Lucia Moholy,https://en.wikipedia.org/wiki/Lucia_Moholy,List_of_20th-century_women_artists,./HTML/Women/Lucia_Moholy.html
Louise Nevelson,https://en.wikipedia.org/wiki/Louise_Nevelson,List_of_20th-century_women_artists,./HTML/Women/Louise_Nevelson.html
Bashka Paeff,https://en.wikipedia.org/wiki/Bashka_Paeff,List_of_20th-century_women_artists,./HTML/Women/Bashka_Paeff.html
Tonita Peña,https://en.wikipedia.org/wiki/Tonita_Pe%C3%B1a,List_of_20th-century_women_artists,./HTML/Women/Tonita_Pe%C3%B1a.html
Orovida Camille Pissarro,https://en.wikipedia.org/wiki/Orovida_Camille_Pissarro,List_of_20th-century_women_artists,./HTML/Women/Orovida_Camille_Pissarro.html
Dod Procter,https://en.wikipedia.org/wiki/Dod_Procter,List_of_20th-century_women_artists,./HTML/Women/Dod_Procter.html
Elsa Schiaparelli,https://en.wikipedia.org/wiki/Elsa_Schiaparelli,List_of_20th-century_women_artists,./HTML/Women/Elsa_Schiaparelli.html
Dorothy Hope Smith,https://en.wikipedia.org/wiki/Dorothy_Hope_Smith,List_of_20th-century_women_artists,./HTML/Women/Dorothy_Hope_Smith.html
Janet Sobel,https://en.wikipedia.org/wiki/Janet_Sobel,List_of_20th-century_women_artists,./HTML/Women/Janet_Sobel.html
Varvara Stepanova,https://en.wikipedia.org/wiki/Varvara_Stepanova,List_of_20th-century_women_artists,./HTML/Women/Varvara_Stepanova.html
Alma Thomas,https://en.wikipedia.org/wiki/Alma_Thomas,List_of_20th-century_women_artists,./HTML/Women/Alma_Thomas.html
Charley Toorop,https://en.wikipedia.org/wiki/Charley_Toorop,List_of_20th-century_women_artists,./HTML/Women/Charley_Toorop.html
